RU,EN,type,misc
озоновый слой {м},ozone layer,noun,
оказаться [+instr.] [сов.],to turn out to be [prove to be],verb,
оказывать влияние [несов.],to influence,verb,
оказывать предпочтение [несов.],to favour [Br.] [prefer],verb,
оказываться [+instr.] [несов.],to turn out to be [prove to be],verb,
окаймлённая (сухопутная) черепаха {ж} [Testudo marginata],marginated tortoise,noun,[zool.] [T] 
окаменеть [сов.] [тж. перен.],to petrify [auch fig.],verb,
оканчиваться [несов.],to end,verb,
окарина {ж},ocarina,noun,[mus.] 
океан {м},ocean,noun,
океанариум {м},oceanarium,noun,
океанида {ж},Oceanid,noun,[myth.] 
океаниды {мн},Oceanids,noun,[myth.] 
океанология {ж},oceanology,noun,[hydro.] [acad.] 
окей [разг.],okay [coll.],,
окклюдин {м},occludin,noun,[biol.] [biochem.] 
окклюзия {ж},occlusion,noun,[meteo.] [dent.] [chem.] 
оклад {м} [заработная плата служащего],salary,noun,
окно {с},window,noun,
око {с} [устр.] [возв.],eye,noun,
около [приблизительно],about [approximately],adv,
околоплодные во́ды {мн},amniotic fluid {sg} <AF>,noun,[anat.] 
околосмертный опыт {м},near-death experience <NDE>,noun,
околоэкваторный,close to the equator [postpos.],adj,[geogr.] 
околоэкваторный,near-equatorial,adj,
околоэкваторный,near the equator [postpos.],adj,[geogr.] 
окольный путь {м},detour,noun,
оконная противомоскитная сетка {с},flyscreen,noun,
оконное стекло {с},(window) pane,noun,
окончание {с} (высшего) учебного заведения,graduation,noun,[acad.] [educ.] 
окончательный,final,adj,
окончательный,ultimate,adj,
окончательный [неотменяемый],irrevocable,adj,
окорок {м} [ветчина],gammon,noun,
окрас {м},color [Am.],noun,[spec.] 
окрестности {мн} [местность],surroundings [of a city etc.],noun,
окрестность {ж},vicinity,noun,
округ {м},district <dist.>,noun,
округление {с},rounding,noun,
окружать,to encompass,verb,
окружать [несов.],to surround,verb,
окружающая обстановка {ж},environment [setting],noun,
окружающая среда {ж},environment,noun,
окружающая среда {ж},the environment,noun,
окружение {с},environment,noun,
окружной прокурор {м},district attorney,noun,[law] 
оксиморон {м},oxymoron,noun,[ling.] 
оксоний {м} [H3O+],oxonium ion,noun,[chem.] 
октябрь {м},October <Oct.>,noun,
октябрьский,October [attr.],adj,
октябрьский день {м},October day,noun,
октябрьский дождь {м},October rain,noun,[meteo.] 
октябрёнок {м},Little Octobrist,noun,[hist.] [pol.] 
окулист {м},oculist [obs.],noun,
окунь {м},perch [fish],noun,[zool.] [T] 
окурок {м},"butt [of a cigar, cigarette]",noun,
олдскульный,old-school,adj,
олени {мн},deer {pl},noun,[zool.] [T] 
олень {м},deer,noun,[zool.] [T] 
оленьи рога {мн},antlers of a stag,noun,[zool.] 
оленья матка {ж} [особ. благородного оленя],hind,noun,[zool.] 
олива {ж} (дерево),olive (tree),noun,[bot.] [T] 
оливка {ж},olive,noun,[bot.] [gastr.] 
оливковое дерево {с},olive tree,noun,[bot.] [T] 
оливковое масло {с},olive oil,noun,[gastr.] 
олигархизация {ж},oligarchisation [Br.],noun,[pol.] [econ.] 
олигархизация {ж},oligarchization,noun,[pol.] [econ.] 
олигархия {ж},oligarchy,noun,[pol.] 
олигомеризация {ж},oligomerization,noun,[biol.] [chem.] 
олигофагия {ж},oligophagy,noun,[biol.] [zool.] [ecol.] 
олигофрения {ж},oligophrenia,noun,[med.] [psych.] 
олимпиец {м},Olympian,noun,[relig.] [sports] 
олимпийский,Olympic,adj,
олимпийский факел {м},Olympic torch,noun,[sports] 
олицетворяющий [воплощающий],embodying,adj,
олицетворённый,embodied,adj past-p,
олово {с} <Sn>,tin <Sn> [metal],noun,[chem.] [material] 
оловянная тарелка {ж},pewter plate,noun,
оловянная шахта {ж},tin mine,noun,[mining] 
ольха {ж} [Alnus],alder (tree),noun,[bot.] [T] 
ольшаник {м},alder thickets {pl},noun,[bot.] 
оманец {м},Omani,noun,[ethn.] 
оманка {ж},Omani [female],noun,[ethn.] 
оманский,Omani,adj,
омаровый соус {м},lobster sauce,noun,[gastr.] 
омбудсмен {м},ombudsman,noun,[pol.] 
омерзение {с},disgust,noun,
омерзение {с},loathing,noun,
омерзительный,disgusting,adj,
омерзительный,"hideous [very unpleasant, ugly]",adj,
омерзительный,loathsome,adj,
омерзительный,repulsive,adj,
омлет {м},omelet [Am.],noun,
омограф {м},homograph,noun,[ling.] 
омоним {м},homonym,noun,[ling.] 
омотские языки {мн},Omotic languages,noun,[ling.] 
омофон {м},homophone,noun,[ling.] 
он,he,pron,
она,she,pronoun,
онемелый,numb,adj,
они,they,pron,
онколог {м},oncologist,noun,[jobs] [med.] 
онкологический,oncologic,adj,[med.] 
онкологический,oncological,adj,[med.] 
онкология {ж},oncology,noun,[med.] [acad.] 
оно,it,pron,
онтологический,ontological,adj,[philos.] 
онтология {ж},ontology,noun,[comp.] [spec.] [philos.] 
оный [устр. канц.] [вышеупомянутый],above-mentioned,adj,
опалубка {ж},formwork,noun,[constr.] 
опасаться [+gen.] [бояться] [несов.],to fear,verb,
опасающийся,afraid,adj,
опасно,dangerously,adv,
опасно,perilously,adv,
опасность {ж},danger,noun,
опасность {ж},hazard [danger],noun,
опасность {ж},jeopardy,noun,
опасность {ж},peril,noun,
опасный,dangerous,adj,
опасный,perilous,adj,
опасный [рискованный],risky,adj,
опен-эйр {м},open-air concert,noun,[mus.] 
опера {ж},opera,noun,[mus.] [theatre] 
операционная система {ж} <ОС>,operating system <OS>,noun,[comp.] 
операция {ж},operation,noun,
операция {ж},surgery [operation],noun,[med.] 
опережать кого-л. [несов.],to leave sb. behind,verb,
опережающий [предвосхищающий],anticipating,adj,
опережение {с},advance,noun,
оперение {с},plumage,noun,[orn.] 
оперетта {ж},operetta,noun,[mus.] 
оперная ария {ж},operatic aria,noun,[mus.] 
оперная певица {ж},opera singer [female],noun,[jobs] [mus.] 
"оперный [напр., ария, партитура]",operatic,adj,[mus.] 
"оперный [напр., певец, театр]",opera [attr.],adj,[mus.] 
оперный певец {м},opera singer,noun,[jobs] [mus.] 
оперный театр {м},opera house,noun,[archi.] [mus.] 
оперон {м},operon,noun,[biol.] 
опешить [разг.],to be taken aback,verb,
опий {м},opium,noun,[drugs] [pharm.] 
описание {с},description,noun,
описывать,to describe,verb,
опиум {м},opium,noun,[drugs] [pharm.] 
опиумный притон {м},opium den,noun,[drugs] 
оплата {ж} расходов,refund,noun,[fin.] 
опоздать на работу,to be late for work,verb,
опознание {с} по голосу,voice recognition,noun,
оползень {м},landslide,noun,[geol.] 
оползень {м},landslip [esp. Br.],noun,[geol.] 
опора {ж} для рук,hand-hold,noun,
опорная карта {ж},reference map,noun,[geogr.] 
опорный,support,adj,
опорожнить [сов.],to deplete,verb,
опорожнять [несов.],to deplete,verb,
опосредованная война {ж},proxy war,noun,[mil.] [pol.] 
опосредованно,mediately,adv,
опосредованный,mediate,adj,
опостылеть кому-л. [сов.] [разг.],to make sb. sick (and tired),verb,[idiom] 
опочивальня {ж} [устр.],chamber [archaic] [bedchamber],noun,
опошлять [несов.],to banalize,verb,
оппозиционер {м},oppositionist,noun,[pol.] 
оппозиционный,opposition [attr.],adj,
оппозиция {ж},opposition,noun,
оппонент {м},opponent,noun,
оппортунизм {м} [книжн.],opportunism,noun,
оппортунист {м},opportunist,noun,
оппортунистический [книжн.],opportunistic,adj,
оппортунистка {ж},opportunist [female],noun,
оппортунистский [книжн.],opportunistic,adj,
"оправдание {с} [извинение, объяснение]",excuse,noun,
оправдывать [несов.],to justify,verb,
"опрашивать [в ходе собеседования, интервью] [несов.]",to interview,verb,
"определение {с} [качества, количества и т. п.]",evaluation,noun,
определять [несов.],to define,verb,
определять [несов.],to determine,verb,
определённый [установленный],definite,adj,
опрокидная вагонетка {ж},tipping wagon,noun,[mining] 
опрокидывать,to tilt,verb,
опрокидывать [несов.],to knock over,verb,
опрокидывать [несов.],to tip over,verb,
опрокидывать [несов.] [перевёртывать вверх дном; ронять набок],to overturn [tip over ],verb,
опрокинуть [сов.],to knock over,verb,
опрокинуть [сов.],to tip over,verb,
опрометчивый,reckless,adj,
опрос {м},survey [examination of opinions],noun,
опрос {м} [наведение справок],enquiry [Br.],noun,
"опросить [в ходе собеседования, интервью] [сов.]",to interview,verb,
опрятный,"neat [person, place]",adj,
оптик {м},optician,noun,
оптимальный,optimal,adj,
оптимизм {м},optimism,noun,
оптимистичный,optimistic,adj,
оптимум {м},optimum,noun,
оптовая торговля {ж},wholesale (trade),noun,[comm.] 
оптовый торговец {м},wholesaler,noun,
опубликованный,published,adj past-p,
опубликовать [сов.] [обнародовать],to announce,verb,
опубликовывать [несов.],to publish,verb,[publ.] 
опустить что-л. [сов.],to lower sth.,verb,
опустошать [разорять] [несов.],to devastate,verb,
опустошение {с},havoc,noun,
опухоль {ж} мозга,brain tumor [Am.],noun,[med.] 
опухший,"swollen [face, ankle etc.]",adj past-p,
опущенный [не упомянутый],omitted,adj past-p,
опущенный [пропущенный],left out,past-p,
опыт {м},experience,noun,
опытный,experienced,adj,
"опытный [умелый, сведущий]",proficient,adj,
опять-таки [разг.],but again,,
опять,again,adv,
оральная стадия / фаза {ж},oral stage / phase,noun,[psych.] 
оральный,oral,adj,[anat.] [psych.] 
оральный секс {м},oral sex,noun,
орангутан {м},orang-ootang,noun,[zool.] [T] 
орангутан {м},orang-utang,noun,[zool.] [T] 
орангутан {м},orang-utan,noun,[zool.] [T] 
орангутанг {м},orang-ootang,noun,[zool.] [T] 
орангутанг {м},orang-utang,noun,[zool.] [T] 
орангутанг {м},orang-utan,noun,[zool.] [T] 
оранжад {м},orangeade,noun,[gastr.] [FoodInd.] 
оранжевошейный казуар {м} [Casuarius unappendiculatus],golden-necked cassowary,noun,[orn.] [T] 
оранжевошейный казуар {м} [Casuarius unappendiculatus],northern cassowary,noun,[orn.] [T] 
оранжевошейный казуар {м} [Casuarius unappendiculatus],one-wattled cassowary,noun,[orn.] [T] 
оранжевошейный казуар {м} [Casuarius unappendiculatus],single-wattled cassowary,noun,[orn.] [T] 
оранжевый,orange [colour],adj,
оранжевый акридин {м},acridine orange,noun,[chem.] 
оранжерея {ж},conservatory,noun,[hort.] 
оранжерея {ж},glasshouse [Br.],noun,[hort.] 
оранжерея {ж},greenhouse,noun,[hort.] [agr.] 
оранжерея {ж},hothouse,noun,[hort.] 
оранжерея {ж},orangery,noun,[archi.] [hort.] 
оратор {м},orator,noun,
оратория {ж},oratorio,noun,[mus.] 
орбита {ж} [тж. перен.],orbit [also fig.],noun,[astron.] [astronau] [phys.] 
орга́н {м},organ,noun,[mus.] 
оргазм {м},orgasm,noun,[biol.] 
органелла {ж},organelle,noun,[biol.] 
органза {ж},organza,noun,[textil.] 
организаторский талант {м},organizational talent,noun,
организация {ж},organization,noun,
организм {м},organism,noun,
организованная молодёжь {ж},organized youth,noun,[sociol.] 
организованный,organized,adj past-p,
организовать [сов./несов.],to organize,verb,
организовать государственный переворот,to stage a coup,verb,[pol.] 
организовывать [несов.],to organize,verb,
органильная группа {ж},organyl group,noun,[biochem.] [chem.] 
органист {м},organist,noun,[jobs] [mus.] 
органический,organic,adj,[anat.] [chem.] 
органогенез {м},organogenesis,noun,[biol.] 
ординарный [обыкновенный],ordinary,adj,
орех {м} [плод],nut,noun,[bot.] 
орех {м} кэшью,cashew,noun,[gastr.] 
орешниковая соня {ж} [Muscardinus avellanarius],common dormouse,noun,[zool.] [T] 
орешниковая соня {ж} [Muscardinus avellanarius],hazel dormouse,noun,[zool.] [T] 
оригами {с} [нескл.],origami,noun,[art] 
оригинальный,original,adj,
оригинальный [привлекательный своей необычностью],quaint [attractively unusual],adj,
ориентировать [несов.],to orient,verb,
оринокский гусь {м} [Neochen jubata],Orinoco goose,noun,[orn.] [T] 
ориньякская культура {ж},Aurignacian (culture),noun,[archaeo.] 
орк {м},orc,noun,[F] [myth.] 
оркестр {м},orchestra,noun,[mus.] 
оркестровые инструменты {мн},instruments of the orchestra,noun,[mus.] 
оркестровые инструменты {мн},orchestral instruments,noun,[mus.] 
орлиный нос {м},aquiline nose,noun,
орлица {ж},female eagle,noun,[zool.] [orn.] 
орляк {м} обыкновенный [Pteridum aquilinum],bracken fern,noun,[bot.] [T] 
орнаментальный,ornamental,adj,
орнитолог {м},ornithologist,noun,[jobs] [acad.] [orn.] 
орнитология {ж},ornithology,noun,[zool.] [acad.] [orn.] 
орогенез {м},orogenesis,noun,[geol.] 
орогенезис {м},orogenesis,noun,[geol.] 
оросительная насадка {ж},wet deck surface,noun,
орофарингеальный,oropharyngeal,adj,[anat.] [med.] 
орошать [несов.],to wash,verb,
орошать [обрызгивать] [несов.],to sprinkle [with water],verb,
орошать [создавать благоприятные по влажности условия] [несов.],to irrigate [water],verb,[agr.] 
орошать [создавать благоприятные по влажности условия] [несов.],to water [irrigate],verb,
ортант {м},orthant,noun,[math.] 
ортогональный,orthogonal,adj,[math.] 
ортопед {м},orthopaedist [Br.],noun,[jobs] [med.] 
ортопед {м},orthopedist [Am.],noun,[jobs] [med.] 
ортопедический,orthopaedic,adj,[med.] 
оружейник {м},gunsmith,noun,[jobs] 
оружейный мастер {м},armorer [Am.],noun,
оружейный мастер {м},armourer [Br.],noun,
оружейный мастер {м},gunsmith,noun,[weapons] 
оружие {с},weapon,noun,
орфография {ж},spelling,noun,
орхидея {ж},orchid,noun,[bot.] [T] 
орёл {м},eagle,noun,[zool.] [T] 
оса {ж},wasp,noun,[zool.] [T] 
осада {ж},siege,noun,[mil.] 
осадки {мн},precipitations,noun,[meteo.] 
осадный,siege [attr.],adj,[mil.] 
осаждать [несов.],to besiege,verb,
осанка {ж},posture,noun,
осведомитель {м},informant,noun,
осведомитель {м},snitch [coll.],noun,
осведомляться [несов.],to enquire,verb,
осведомлённость {ж},awareness,noun,
освежать [несов.],to refresh,verb,
освежать [несов.] [знания],to brush up [knowledge],verb,
освежающий,refreshing,adj pres-p,
освещать [несов.],to illuminate,verb,
освещение {с},lighting,noun,
освещённость {ж},illumination,noun,
"освободить [город, страну, человека] [сов.]",to free [liberate],verb,
"освободить [город, страну, человека] [сов.]",to liberate,verb,
"освободить [сделать пустым, ничем не занятым] [сов.]",to clear [empty],verb,
"освободить [сделать пустым, ничем не занятым] [сов.]",to empty,verb,
освободить [сов.],to set free [emancipate],verb,
освободить кого-л. от должности [сов.],to dismiss sb.,verb,
"освободить кого-л. от чего-л. [несов.] [от обязательства, ответственности]",to exonerate sb. from sth.,verb,[law] 
освободить от [+gen.] [избавить от чего-л.] [сов.],to exempt from,verb,
освободить от [+gen.] [избавить от чего-л.] [сов.],to free from [exempt from],verb,
освобождать [несов.],to release,verb,
освобождение {с},deliverance,noun,
освобождение {с},emancipation,noun,
освобождение {с},freeing [liberation],noun,
освобождение {с},liberation [deliverance],noun,
освобождение {с},liberation [emancipation],noun,
освобождение {с},vacating [act of vacating a place],noun,
освобождённый,exempt,adj,
освящение {с},dedication,noun,
осевая симметрия {ж},axial symmetry,noun,[math.] 
оседлая птица {ж},non-migratory bird,noun,[orn.] 
оседлая птица {ж},nonmigratory bird,noun,[orn.] 
оседлая птица {ж},resident (bird),noun,[orn.] 
оседлая птица {ж},sedentary bird,noun,[orn.] 
оседлый,sedentary,adj,
осеннее равноденствие {с},autumn equinox,noun,[astron.] 
осеннее утро {с},autumn morning,noun,
осеннее утро {с},fall morning [Am.],noun,
осенний,autumnal,adj,
осенний,autumn [attr.],adj,
осенний,fall [attr.] [Am.] [autumn],adj,
осенний вечер {м},autumn evening,noun,
осенний вечер {м},fall evening [Am.],noun,
осенний день {м},autumn day,noun,
осенний день {м},day in (the) fall [Am.],noun,
осенний день {м},day in autumn,noun,
осенний день {м},fall day [Am.],noun,
осенний дождь {м},autumn rain,noun,[meteo.] 
осенняя листва {ж},autumn foliage,noun,
осенняя листва {ж},autumn leaves {pl},noun,
осенняя листва {ж},fall foliage [Am.],noun,
осенняя листва {ж},fall leaves {pl} [Am.],noun,
осенняя ночь {ж},autumn night,noun,
осенняя ночь {ж},fall night [Am.],noun,
осенняя погода {ж},autumnal weather,noun,[meteo.] 
осенняя погода {ж},autumn weather,noun,[meteo.] 
осень {ж},autumn,noun,
осень {ж},fall [Am.],noun,
осенью,in autumn,adv,
осетинка {ж},Ossetian [female],noun,[ethn.] 
осилить [сов.],to overcome [to cope with],verb,
осина {ж},aspen,noun,[bot.] [T] 
осиный,vespine,adj,[entom.] 
оскорбительный,abusive [offensive],adj,
оскорбить кого-л. [сов.],to insult sb.,verb,
оскорбление {с},contumely [archaic] [insult],noun,
оскорбление {с},insult,noun,
оскорблять [несов.] кого-л.,to offend sb.,verb,
оскорблять кого-л. [несов.],to insult sb.,verb,
"ослабить [хватку, дисциплину, внимание, контроль, мышцы и т.п.] [сов.]","to relax [one's grip, rule, attention, control, muscles etc.]",verb,
ослаблять [несов.] [делать менее тугим],"to loosen [tie, rope, belt etc.]",verb,
ослеплять [несов.],to dazzle,verb,
ослушаться [сов.] [не подчиниться],to disobey,verb,
осматривать [несов.] [больного],to examine,verb,[med.] 
осматривать [с целью проверки] [несов.],to visit [inspect],verb,
осмеивать [несов.],to ridicule,verb,
осмий {м} <Os>,osmium <Os>,noun,[chem.] 
осмос {м},osmose [archaic] [osmosis],noun,[biol.] [chem.] 
осмос {м},osmosis,noun,[biol.] 
осмотический,osmotic,adj,[biol.] [chem.] 
осмотреть [с целью проверки] [сов.],to visit [inspect],verb,
осмотрительность {ж},circumspection,noun,
осмотрительность {ж},wariness,noun,
осмотрительный,prudent,adj,
основательно,thoroughly,adv,
основать [сов.],to base upon,verb,
основать [сов.],to build upon,verb,
основать [сов.],"to establish [company, organization etc.]",verb,
основать [сов.],to found [establish],verb,
основная сфера {ж} компетенции,core competence,noun,
основное применение {с},main application,noun,
основной,essential,adj,
основной,fundamental,adj,
основной,primary [principal],adj,
основной,principal,adj,
основной акцент {м},main emphasis,noun,
основной рацион {м},staple diet,noun,
основы {мн} [чего-л.],ABC [rudiments of a subject],noun,
основывать [несов.],to base upon,verb,
основывать [несов.],to build upon,verb,
основывать [несов.],"to establish [company, organization etc.]",verb,
основывать [несов.],to found [establish],verb,
особенно,especially,adv,
особенность {ж} [характерная черта],feature,noun,
особенный [необычный],peculiar,adj,
особняк {м},mansion,noun,[archi.] [RealEst.] 
особые приметы {мн},distinguishing marks,noun,
особый,special [exceptional],adj,
особый [особенный],particular [special],adj,
осознавать [несов.],to realize [understand],verb,
осознающий,aware,adj,
осока {ж} мохнатая [Carex hirta],hairy sedge,noun,[T] [bot.] 
оспа {ж},smallpox,noun,[med.] 
оспаривать [несов.],to deny,verb,
оспоримость {ж},voidability,noun,[law] 
оспоримый,contradictable,adj,[law] 
оставаться [в прежнем состоянии] [несов.],to remain,verb,
оставаться на ужин [несов.],to stay for supper,verb,
оставаться приверженным чему-л. [несов.],to stick with sth. [coll.],verb,
оставить (в покое) [сов.],to leave alone,verb,
оставить / покинуть кого-л. в беде,to leave sb. in the lurch,noun,
"оставить [перен.] [мысли, мечты, надежды] [сов.]","to give up [idea, dreams, hope etc.]",verb,
оставить [покинуть] [несов.],to desert [go away from],verb,
оставить [покинуть] [сов.],"to abandon [forsake, desert]",verb,
"оставить [привычку, занятие] [сов.]",to drop [stop],verb,
оставить [сов.],to leave,verb,
оставить [сов.],to stop,verb,
оставить [сов.] [предоставить],to cede,verb,
оставить [сохранить для дальнейшего] [сов.],to keep [reserve],verb,
оставить [сохранить для дальнейшего] [сов.],to reserve,verb,
оставлять [несов.],to leave,verb,
"оставлять [перен.] [мысли, мечты, надежды] [несов.]","to give up [idea, dreams, hope]",verb,
оставлять [покидать] [несов.],"to abandon [forsake, desert]",verb,
оставлять [покидать] [несов.],to desert [go away from],verb,
"оставлять [привычку, занятие] [несов.]",to drop [stop],verb,
"оставлять [работу, занятие, разговор] [несов.]",to stop,verb,
оставлять [сберегать] [несов.],to reserve,verb,
оставлять [сохранять] [несов.],to keep [reserve],verb,
оставлять в покое [несов.],to leave alone,verb,
оставшийся,left [remaining],adj,
оставшийся,remaining,adj pres-p,
остатки {мн},remains,noun,
остаток {м},remainder,noun,
остаток {м},residue,noun,[chem.] [econ.] 
остаток {м},rest [remainder],noun,
остаток {м} [короткий обломок],stub,noun,
остаток {м} [материи],remnant,noun,
остаточная стоимость {ж},residual value,noun,[fin.] [econ.] 
остаточное значение {с},residual value,noun,
остаточный,residual,adj,
остготский,Ostrogoth,adj,[hist.] 
остготский,Ostrogothic,adj,[hist.] 
остготы {мн},Ostrogoths,noun,[hist.] [ethn.] 
остеомиелит {м},osteomyelitis,noun,[med.] 
остеопат {м},osteopath,noun,[med.] 
остеопатия {ж},osteopathy,noun,[med.] 
остеопетроз {м},osteopetrosis,noun,[med.] 
остеопороз {м},osteoporosis,noun,[med.] 
остеоцит {м},osteocyte,noun,[anat.] [biol.] [med.] 
остерегаться [несов.],to beware,verb,
остов {м},framework,noun,[archi.] [engin.] [naut.] 
осторожно,warily,adv,
"осторожно [спокойно, умеренно]",gently,adv,
осторожность {ж},caution [care],noun,
осторожность {ж},wariness,noun,
осторожный,careful,adj,
осторожный,prudent,adj,
осторожный,wary,adj,
"осторожный [осмотрительный, скрытый]",cagey [coll.] [wary],adj,
острая боль {ж},acute pain,noun,[med.] 
остригать [несов.],to cut,verb,
остриё {с},peak,noun,
остров {м},island,noun,[geogr.] 
остров {м},isle,noun,
остров {м} Мэн <.im>,Isle of Man,noun,[geogr.] 
острова {мн} Королевы Елизаветы,Queen Elizabeth Islands,noun,
островной гигантизм {м},insular gigantism,noun,[biol.] 
островной гигантизм {м},island gigantism,noun,[biol.] 
островок {м},islet,noun,
остроумный,with sense of humor,adj,
остроумный,witty,adj,
острохохлая синица {ж} [Baeolophus bicolor],tufted titmouse,noun,[orn.] [T] 
"острый, как лезвие ножа",razor sharp,adj,
острый,acute,adj,
острый,hot,adj,[gastr.] 
острый угол {м},acute angle,noun,[math.] 
осудить [сов.] [выразить порицание],to condemn,verb,
осуждать [несов.] [порицать],to blame,verb,
осуществимость {ж},feasibility,noun,
осуществимый,feasible,adj,
осуществимый,viable [project],adj,
осуществить [сов.],to implement,verb,
осуществление {с},fulfillment [Am.],noun,
осуществление {с},implementation,noun,
осы {мн},wasps,noun,[zool.] [T] 
ось {ж},axis,noun,[math.] 
ось {ж},axle,noun,[automot.] [rail] 
ось {ж},pivot,noun,[tech.] 
осязаемый,tangible,adj,
осязание {с},sense of touch,noun,
осёл {м},ass,noun,[zool.] [T] 
осёл {м},donkey,noun,[zool.] [T] 
от ... до [+gen.],from ... to,,
от,from,prep,
от Рождества Христова <от Р. Х.>,"anno Domini <AD, A. D.>",adv,[relig.] 
отапливаемый,heated,adj,
отбеливать [несов.],to bleach,verb,
отбивная котлета {ж},chop,noun,[gastr.] 
отбирать [несов.],to select,verb,
отбор {м},selection,noun,
отбрасывать [несов.],"to dismiss [possibility, idea]",verb,
отбрасывать [несов.],to repel,verb,
отбросы {мн},waste [rubbish],noun,
отвага {ж} [перед лицом опасности],valour [Br.],noun,
отваживаться на что-л. [несов.],to dare sth.,verb,
отважный,bold,adj,
отважный,courageous,adj,
отважный,daring [brave],adj,
отважный,venturous [archaic],adj,
отвергать [несов.],to deny [allegation],verb,
отвердевший,calcified,adj past-p,
отверзаться [несов.] [возв.] [устр.],to open wide,verb,
отверзтись [сов.] [возв.] [устр.],to open wide,verb,
отверстие {с},hole,noun,
ответ {м},answer,noun,
ответ {м},reply,noun,
ответ {м},response,noun,
ответить [сов.],to answer,verb,
ответить цитатой на цитату,cap a quotation,verb,[quote] 
ответственность {ж},responsibility [liability],noun,
ответственность {ж} [за возможные последствия],blame [responsibility],noun,
ответственный (перед) [подотчётный кому-л],accountable (to),adj,
ответственный,responsible,adj,
ответственный [за что-л.],in charge,adj,
ответчик {м},defendant,noun,[law] 
ответы {мн},responses,noun,
отвечать (за) [несов.],to be in charge,verb,
отвечать [несов.],to answer,verb,
отвечать [несов.],to reply,verb,
отвлекать [несов.],to distract,verb,
отвлечённый [абстрактный],abstract,adj,
отводить [войска] [несов.],to withdraw [the troops],verb,[mil.] 
отвратительный,abhorrent,adj,
отвратительный,loathsome,adj,
отвратительный,nasty,adj,
отвратительный,repulsive,adj,
отвращение {с},aversion,noun,
отвращение {с},disgust,noun,
отвращение {с},reluctance,noun,
отвращение {с} [чувство],abomination [feeling],noun,
отвёртка {ж},screwdriver,noun,
отговаривать [несов.],to dissuade,verb,
отговорка {ж},excuse [pretext],noun,
отговорка {ж},pretext,noun,
отдавать кому-л. дань уважения,to pay (one's) tribute to sb.,verb,
отдавать что-л. [несов.] [дарить],to give away sth. [for free],verb,
отдалённо,distantly,adv,
отдать последнюю дань уважения,to pay one's last respects,verb,
отдел {м},department,noun,
отдел {м} сбыта,sales department,noun,[market.] 
отделение {с},division,noun,[comm.] 
"отделение {с} [in university, school]",department <dept.>,noun,
отдельно,"apart [separately, asunder]",adv,
отдельный,detached [separated],adj,
отделяться [несов.],to secede,verb,[pol.] [relig.] 
отдохнуть [сов.] [в отпуске],to have a holiday,verb,
отдых {м},rest [repose],noun,
"отдых {м} [развлечения, восстановление сил и т.п]",recreation,noun,
отельер {м},hotelier,noun,[jobs] [travel] 
отец {м},father,noun,
отжиговая печь {ж},annealing furnace,noun,[tech.] 
отжимания {мн} [спортивное упражнение],push-ups [Am.],noun,[sports] 
отзывать [несов.],to revoke,verb,
от имени [+gen.],on behalf of,prep,
отказ {м},denial,noun,
отказ {м} [выполнить что-л.],refusal,noun,
"отказаться [от прежних взглядов, увлечений и т.п.] [сов.]",to discard,verb,
отказаться от [+gen.] [сов.],to refuse [decline sth. offered],verb,
отказаться от чего-л. [сов.],to spare sth. [do without],verb,
отказывать кому-л. в чём-л. [несов.],to refuse sb. sth.,verb,
"отказываться [от права, требования] [несов.]",to waive,verb,
отказываться от [+gen.] [несов.],to abandon [renounce],verb,
отказываться от [+gen.] [несов.],to refuse [decline sth. offered],verb,
откармливать [несов.],to cram,verb,
откармливать [несов.],to fatten,verb,
откинуть копыта [разг.] [идиом.],to bite the dust [coll.] [to die] [idiom],verb,
откладывание {с} [отсрочка],postponement,noun,
откладывать [несов.],to put off [delay],verb,
откладывать [отсрочивать],to adjourn,verb,
откладывать [отсрочивать] [несов.],to postpone (to),verb,
отклонение {с},abstraction,noun,
отклонение {с},diversion,noun,
"отклонение {с} [от курса, маршрута и т.п.]",deviation,noun,
отклониться от темы [сов.],to get off the track,verb,
отклонять [несов.],to reject,verb,
отклонять [несов.] [отказывать в чём-л.],"to turn down [reject, refuse]",verb,
отклоняться [несов.],to deviate,verb,
отклонённый,dismissed,adj,[law] 
откровенно говоря,frankly speaking,,
откровенный [искренний],candid [sincere],adj,
"открывать [дело, предприятие и т. п.] [несов.]",to set up [shop],verb,
открывать [несов.],to open,verb,
открывать Америку,to peddle old stuff,verb,[idiom] 
открытая рана {ж},open wound,noun,[med.] 
"открытие {с} [находка учёного, исследователя]",discovery,noun,
открыть собственное дело,to set up in business,verb,
отличать [несов.] [проводить различия],to differentiate [distinguish],verb,
отличающийся,different [distinct],adj,
отличие {с} [отличительный признак],difference,noun,
отличие {с} [отличительный признак],distinction [difference],noun,
отличительный,distinguishing,adj,
отличить [сов.] [провести различия],to differentiate [distinguish],verb,
отлично,very well,adv,
отличный,excellent,adj,
отличный [другой],different,adj,
отложенный (на более поздний срок),suspended,adj past-p,
отложенный налог {м},deferred tax,noun,[acc.] 
отмена {ж},abolition,noun,
отменить [сов.],"to call off [cancel, postpone]",verb,
отменный,excellent,adj,
отменять [несов.],to cancel,verb,
отмереть [сов.] [о тканях тела],to mortify [tissue],verb,[med.] 
отметка {ж},"mark [Br.] [grade, sign]",noun,
отметка {ж} [обозначение],label,noun,
отмечать [обращать внимание] [несов.],to note [notice],verb,
